             Object File DRAM .data .rtc.data DRAM .bss .ext_ram.bss IRAM0 .text & 0.vectors ram_st_total Flash .text & .rodata & .rodata_noload & .appdesc flash_total
      xtensa_context.S.o          0         0         0            0         367           0          367           0         0                0          0         367
          lib_a-refill.o          0         0         0            0         365           0          365           0         0                0          0         365
            eh_globals.o          0         0        16            0           0           0           16         198       160                0          0         358
          lib_a-memcpy.o          0         0         0            0         355           0          355           0         0                0          0         355
              assert.c.o         47         0         0            0         301           0          348           0         0                0          0         348
 ieee80211_crypto_tkip.o         24         0         0            0           0           0           24         316         0                0          0         340
               pkcs5.c.o          0         0         0            0           0           0            0         334         0                0          0         334
   spi_flash_chip_gd.c.o        127         0         0            0         205           0          332           0         0                0          0         332
     tcp_isn_default.c.o          0         0         0           68           0           0           68         323         0                0          0         323
       ieee80211_debug.o          0         0         0           64           0           0           64         188       135                0          0         323
         lib_a-makebuf.o          0         0         0            0         317           0          317           0         0                0          0         317
       windowspill_asm.o          0         0         0            0         311           0          311           0         0                0          0         311
      freertos_hooks.c.o          8         0       128            0          47           0          183         251         0                0          0         306
          lib_a-strcmp.o          0         0         0            0         299           0          299           0         0                0          0         299
              misc_nvs.o          0         0        33            0           0           0           33         247        48                0          0         295
ieee80211_action_vendor.          0         0         0           12           0           0           12         294         0                0          0         294
         lib_a-strncpy.o          0         0         0            0         293           0          293           0         0                0          0         293
             esp_clk.c.o          0        16         4            0          79           0           99         193         0                0          0         288
         esp_ota_ops.c.o          0         0         4            0           0           0            4         160       125                0          0         285
          lib_a-fclose.o          0         0         0            0         282           0          282           0         0                0          0         282
          lib_a-ftello.o          0         0         0            0           0           0            0         282         0                0          0         282
          sha256-prf.c.o          0         0         0            0           0           0            0         282         0                0          0         282
             int_wdt.c.o          0         0         9            0         118           0          127         163         0                0          0         281
                 bt_bb.o          0         0         0            0         279           0          279           0         0                0          0         279
           lib_a-fopen.o          0         0         0            0           0           0            0         276         0                0          0         276
                 mem.c.o          0         0         0            0           0           0            0         139       136                0          0         275
        brownout_hal.c.o          0         0         0            0           0           0            0         274         0                0          0         274
       esp_time_impl.c.o          0         0        12            0           0           0           12         271         0                0          0         271
          lib_printf.c.o          0         0         0            0           0           0            0         234        35                0          0         269
          rtc_module.c.o         16         0         8            0           0           0           24         250         0                0          0         266
             soc_hal.c.o         24         0         0            0         240           0          264           0         0                0          0         264
        lib_a-snprintf.o          0         0         0            0           0           0            0         259         0                0          0         259
             aes_hal.c.o          0         0         0            0           0           0            0         259         0                0          0         259
        log_freertos.c.o          0         0         8            0         253           0          261           0         0                0          0         253
           lib_a-reent.o          0         0         0            0           0           0            0         252         0                0          0         252
              eh_catch.o          0         0         0            0           0           0            0         211        40                0          0         251
     nvs_partition.cpp.o          0         0         0            0           0           0            0         201        48                0          0         249
             esp_err.c.o        108         0         0            0         140           0          248           0         0                0          0         248
                 eap.c.o          0         0         4            0           0           0            4         242         0                0          0         242
 spi_flash_chip_issi.c.o        129         0         0            0         111           0          240           0         0                0          0         240
           lib_a-stdio.o          0         0         0            0         238           0          238           0         0                0          0         238
          lib_a-wsetup.o          0         0         0            0         238           0          238           0         0                0          0         238
         ieee80211_ets.o          0         0         0            0           0           0            0         173        63                0          0         236
              netbuf.c.o          0         0         0            0           0           0            0         143        91                0          0         234
         newlib_init.c.o        144         0       240            0           0           0          384          87         0                0          0         231
         system_time.c.o          0         0         8            0          35           0           43         114        80                0          0         229
tcpip_adapter_compat.c.o          0         0        17            0           0           0           17         228         0                0          0         228
          eh_terminate.o          0         0         0            0           0           0            0          79       141                0          0         220
  ieee80211_mesh_quick.o          7         0         0          180           0           0          187         212         0                0          0         219
          aes-unwrap.c.o          0         0         0            0           0           0            0         217         0                0          0         217
           hw_random.c.o          0         0         4            0          75           0           79          82        59                0          0         216
            aes-wrap.c.o          0         0         0            0           0           0            0         213         0                0          0         213
            lib_a-puts.o          0         0         0            0           0           0            0         210         0                0          0         210
                 rc4.c.o          0         0         0            0           0           0            0         206         0                0          0         206
          esp_system.c.o          0         0        20            0          59           0           79         138         0                0          0         197
         xtensa_intr.c.o          0         0         0            0          26           0           26         133        35                0          0         194
            lib_a-putc.o          0         0         0            0           0           0            0         192         0                0          0         192
        lib_a-asprintf.o          0         0         0            0           0           0            0         191         0                0          0         191
            lib_a-wbuf.o          0         0         0            0         188           0          188           0         0                0          0         188
       esp_wpas_glue.c.o          0         0         0            0           0           0            0         187         0                0          0         187
         lib_a-sprintf.o          0         0         0            0           0           0            0         185         0                0          0         185
               abort.c.o         38         0         0            0         145           0          183           0         0                0          0         183
          crypto_ops.c.o          0         0         0            0           0           0            0          75       108                0          0         183
  default_event_loop.c.o          0         0         4            0           0           0            4         154        28                0          0         182
           chip_info.c.o          0         0         0            0           0           0            0         179         0                0          0         179
                list.c.o          0         0         0            0         179           0          179           0         0                0          0         179
           flash_ops.c.o         24         0         4            0         125           0          153          29         0                0          0         178
            lib_a-utoa.o         37         0         0            0         140           0          177           0         0                0          0         177
            rtc_analog.o          0         0         0            0         177           0          177           0         0                0          0         177
              new_opnt.o          0         0         0            0           0           0            0          54       122                0          0         176
 spi_flash_chip_mxic.c.o        129         0         0            0          44           0          173           0         0                0          0         173
          lib_a-strcpy.o          0         0         0            0         171           0          171           0         0                0          0         171
            hal_mac_rx.o          0         0         0            0         170           0          170           0         0                0          0         170
            sha1-prf.c.o          0         0         0            0           0           0            0         170         0                0          0         170
  ieee80211_crypto_wep.o         24         0         0            0           0           0           24         142         0                0          0         166
      esp_aes_common.c.o          0         0         0            0           0           0            0         160         0                0          0         160
         gpio_periph.c.o          0         0         0            0           0           0            0           0       160                0          0         160
  esp_netif_defaults.c.o          0         0         0            0           0           0            0           0       159                0          0         159
            cpu_util.c.o          0         0         0            0         136           0          136           0        20                0          0         156
           ap_config.c.o          0         0         0            0           0           0            0         156         0                0          0         156
spi_flash_os_func_noos.c         36         0         0            0         118           0          154           0         0                0          0         154
       cache_err_int.c.o          0         0         0            0          56           0           56          95         0                0          0         151
       lib_a-vsnprintf.o          0         0         0            0           0           0            0         150         0                0          0         150
                heap.c.o          0         0         0            0         147           0          147           0         0                0          0         147
       esp_efuse_api.c.o          0         0         0            0           0           0            0         145         0                0          0         145
            brownout.c.o          0         0         0            0           0           0            0         101        43                0          0         144
              ethip6.c.o          0         0         0            0           0           0            0         144         0                0          0         144
          lib_a-memset.o          0         0         0            0         143           0          143           0         0                0          0         143
          lib_a-printf.o          0         0         0            0           0           0            0         133         0                0          0         133
           lib_a-flags.o          0         0         0            0           0           0            0         131         0                0          0         131
   ieee80211_ie_vendor.o          0         0         0            0           0           0            0         126         0                0          0         126
    esp_efuse_fields.c.o          0         0         0            0           0           0            0         122         0                0          0         122
           _fixunsdfdi.o          0         0         0            0           0           0            0         121         0                0          0         121
            ip4_addr.c.o          0         0         0            0           0           0            0          72        48                0          0         120
           lib_a-fwalk.o          0         0         0            0         119           0          119           0         0                0          0         119
bootloader_efuse_esp32.c          0         0         0            0           0           0            0         116         0                0          0         116
        esp_rom_uart.c.o          0         0         0            0         115           0          115           0         0                0          0         115
 esp_ipc_isr_handler.S.o         16         0         0            0          97           0          113           0         0                0          0         113
              wpabuf.c.o          0         0         0            0           0           0            0         113         0                0          0         113
                 err.c.o          0         0         0            0           0           0            0          44        68                0          0         112
              esp_md.c.o          0         0         0            0           0           0            0         111         0                0          0         111
     esp_efuse_table.c.o         64         0         0            0           0           0           64           0        44                0          0         108
          spi_periph.c.o          0         0         0            0           0           0            0           0       108                0          0         108
         lib_a-s_frexp.o          0         0         0            0           0           0            0         107         0                0          0         107
         lib_a-vprintf.o          0         0         0            0           0           0            0         104         0                0          0         104
         nvs_types.cpp.o          0         0         0            0           0           0            0         104         0                0          0         104
          lib_a-strlen.o          0         0         0            0          99           0           99           0         0                0          0          99
            wl_offchan.o          0         0         0            8           0           0            8          98         0                0          0          98
               _divsf3.o          0         0         0            0           0           0            0          89         0                0          0          89
            lib_a-itoa.o          0         0         0            0          88           0           88           0         0                0          0          88
        dport_access.c.o          0         0         0            0          87           0           87           0         0                0          0          87
bootloader_flash_config_          0         0         0            0           0           0            0          86         0                0          0          86
          lib_a-memcmp.o          0         0         0            0          82           0           82           0         0                0          0          82
             pthread.c.o          0         0         8            0           0           0            8          81         0                0          0          81
nvs_partition_lookup.cpp          0         0         0            0           0           0            0          77         0                0          0          77
         lib_a-memmove.o          0         0         0            0          76           0           76           0         0                0          0          76
         lib_a-putchar.o          0         0         0            0           0           0            0          76         0                0          0          76
        lib_a-wctomb_r.o          0         0         0            0          76           0           76           0         0                0          0          76
                  ip.c.o          0         0         0           68           0           0           68          49        24                0          0          73
             mpu_hal.c.o          0         0         0            0           0           0            0          72         0                0          0          72
        lib_a-mbtowc_r.o          0         0         0            0           0           0            0          70         0                0          0          70
           os_xtensa.c.o          0         0         0            0           0           0            0          70         0                0          0          70
   panic_handler_asm.S.o          0         0         0            0          66           0           66           0         0                0          0          66
          reent_init.c.o          0         0         0            0          66           0           66           0         0                0          0          66
         regi2c_ctrl.c.o          8         0         0            0          56           0           64           0         0                0          0          64
         lib_a-strncmp.o          0         0         0            0          62           0           62           0         0                0          0          62
esp_efuse_api_key_esp32.          0         0         0            0           0           0            0          62         0                0          0          62
               hal_tsf.o          0         0         0            0           0           0            0          62         0                0          0          62
state_asm--restore_extra          0         0         0            0          62           0           62           0         0                0          0          62
state_asm--save_extra_nw          0         0         0            0          62           0           62           0         0                0          0          62
interrupt_controller_hal          0         0         0            0           0           0            0          59         0                0          0          59
                 def.c.o          0         0         0            0           0           0            0          58         0                0          0          58
   bootloader_common.c.o          0         0         0            0           0           0            0          51         0                0          0          51
            platform.c.o          8         0         0            0           0           0            8          43         0                0          0          51
              sha256.c.o          0         0         0            0           0           0            0          51         0                0          0          51
              sha512.c.o          0         0         0            0           0           0            0          51         0                0          0          51
              pp_debug.o          4         0         0          252          23           0          279          23         0                0          0          50
           lib_a-fseek.o          0         0         0            0           0           0            0          49         0                0          0          49
                 md5.c.o          0         0         0            0           0           0            0          49         0                0          0          49
                sha1.c.o          0         0         0            0           0           0            0          49         0                0          0          49
      lib_a-localeconv.o          0         0         0            0           0           0            0          47         0                0          0          47
xtensa_vector_defaults.S          0         0         0            0          46           0           46           0         0                0          0          46
         lib_a-strrchr.o          0         0         0            0          45           0           45           0         0                0          0          45
        ieee80211_rfid.o          0         0         0            0           0           0            0          44         0                0          0          44
cxx_exception_stubs.cpp.          0         0         0            0           0           0            0          42         0                0          0          42
             cpu_hal.c.o          0         0         0            0          42           0           42           0         0                0          0          42
          lib_a-strcat.o          0         0         0            0          41           0           41           0         0                0          0          41
               _divdi3.o          0         0         0            0           0           0            0           0        40                0          0          40
               _moddi3.o          0         0         0            0           0           0            0           0        40                0          0          40
              _udivdi3.o          0         0         0            0           0           0            0           0        40                0          0          40
              _umoddi3.o          0         0         0            0           0           0            0           0        40                0          0          40
         xtensa_init.c.o          0         0         4            0          35           0           39           0         0                0          0          35
        lib_a-strdup_r.o          0         0         0            0          32           0           32           0         0                0          0          32
                init.c.o          0         0         0            0           0           0            0          32         0                0          0          32
       platform_util.c.o          4         0         0            0           0           0            4          28         0                0          0          32
  interrupts--intlevel.o          0         0         0            0           0           0            0           0        32                0          0          32
        port_systick.c.o          0         0         0            0          30           0           30           0         0                0          0          30
             esp_mem.c.o          0         0         0            0          30           0           30           0         0                0          0          30
          lib_a-strchr.o          0         0         0            0          29           0           29           0         0                0          0          29
         lib_a-strnlen.o          0         0         0            0          29           0           29           0         0                0          0          29
       lib_a-sysgettod.o          0         0         0            0           0           0            0          28         0                0          0          28
spi_flash_chip_drivers.c         28         0         0            0           0           0           28           0         0                0          0          28
          lib_a-memchr.o          0         0         0            0          27           0           27           0         0                0          0          27
   debug_helpers_asm.S.o          0         0         0            0          26           0           26           0         0                0          0          26
